epoch,lr-AdamW,step,train_loss,valid_loss
192,,38599,,4.2528910636901855
,0.0001,38600,,
193,,38699,3.768082857131958,
193,,38799,3.6857454776763916,
193,,38799,,4.183127403259277
,1e-05,38800,,
194,,38899,3.7874372005462646,
194,,38999,3.7798306941986084,
194,,38999,,4.093301296234131
,1e-05,39000,,
195,,39099,3.607398509979248,
195,,39199,3.7057459354400635,
195,,39199,,4.120659351348877
,1e-05,39200,,
196,,39299,3.682730197906494,
196,,39399,3.8198516368865967,
196,,39399,,4.0974273681640625
,1e-05,39400,,
197,,39499,3.6124942302703857,
197,,39599,3.9747583866119385,
197,,39599,,4.125086784362793
,1e-05,39600,,
198,,39699,3.693530797958374,
198,,39799,3.6155412197113037,
198,,39799,,4.108095645904541
,1e-05,39800,,
199,,39899,3.5274932384490967,
199,,39999,3.7225613594055176,
199,,39999,,4.117618560791016
,1e-05,40000,,
200,,40099,3.669132947921753,
200,,40199,3.7162561416625977,
200,,40199,,4.123297214508057
,1e-05,40200,,
201,,40299,3.839012861251831,
201,,40399,3.7335050106048584,
201,,40399,,4.110250473022461
,1e-05,40400,,
202,,40499,3.741609573364258,
202,,40599,3.849015235900879,
202,,40599,,4.121390342712402
,1e-05,40600,,
203,,40699,3.6877191066741943,
203,,40799,3.463972330093384,
203,,40799,,4.101247310638428
,1e-05,40800,,
204,,40899,3.65625,
204,,40999,3.5800583362579346,
204,,40999,,4.109165191650391
,1e-05,41000,,
205,,41099,3.4801454544067383,
205,,41199,3.6412789821624756,
205,,41199,,4.114209175109863
,1.0000000000000002e-06,41200,,
206,,41299,3.4654362201690674,
206,,41399,3.541010618209839,
206,,41399,,4.097343921661377
,1.0000000000000002e-06,41400,,
207,,41499,3.7361128330230713,
207,,41599,3.52873158454895,
207,,41599,,4.102819919586182
,1.0000000000000002e-06,41600,,
208,,41699,3.636986017227173,
208,,41799,3.5823683738708496,
208,,41799,,4.096062183380127
,1.0000000000000002e-06,41800,,
209,,41899,3.399526596069336,
209,,41999,3.6289875507354736,
209,,41999,,4.111889839172363
,1.0000000000000002e-06,42000,,
210,,42099,3.6978373527526855,
210,,42199,3.6552019119262695,
210,,42199,,4.111614227294922
,1.0000000000000002e-06,42200,,
211,,42299,3.7141811847686768,
211,,42399,3.5387513637542725,
211,,42399,,4.109381675720215
,1.0000000000000002e-06,42400,,
212,,42499,3.7635838985443115,
212,,42599,3.4090285301208496,
212,,42599,,4.093061447143555
,1.0000000000000002e-06,42600,,
213,,42699,3.7820451259613037,
213,,42799,3.4783055782318115,
213,,42799,,4.125360488891602
,1.0000000000000002e-06,42800,,
214,,42899,3.7434420585632324,
214,,42999,3.590397596359253,
214,,42999,,4.102871417999268
,1.0000000000000002e-06,43000,,
215,,43099,3.7874035835266113,
215,,43199,3.599337577819824,
215,,43199,,4.092467308044434
,1.0000000000000002e-06,43200,,
216,,43299,3.7249531745910645,
216,,43399,3.558342695236206,
216,,43399,,4.118433475494385
,1.0000000000000002e-06,43400,,
217,,43499,3.695361614227295,
217,,43599,3.324702262878418,
217,,43599,,4.112916469573975
,1.0000000000000002e-06,43600,,
218,,43699,3.6584978103637695,
218,,43799,3.7561702728271484,
218,,43799,,4.11284065246582
,1.0000000000000002e-06,43800,,
219,,43899,3.355821371078491,
219,,43999,3.8326568603515625,
219,,43999,,4.1067986488342285
,1.0000000000000002e-06,44000,,
220,,44099,3.741520643234253,
220,,44199,3.5968761444091797,
220,,44199,,4.10346794128418
,1.0000000000000002e-06,44200,,
221,,44299,3.605839967727661,
221,,44399,3.6316230297088623,
221,,44399,,4.082648754119873
,1.0000000000000002e-06,44400,,
222,,44499,3.405139923095703,
222,,44599,3.454092502593994,
222,,44599,,4.107034206390381
,1.0000000000000002e-06,44600,,
223,,44699,3.6103157997131348,
223,,44799,3.9823360443115234,
223,,44799,,4.119409561157227
,1.0000000000000002e-06,44800,,
224,,44899,3.6389272212982178,
224,,44999,3.6040074825286865,
224,,44999,,4.09883975982666
,1.0000000000000002e-06,45000,,
225,,45099,3.5354626178741455,
225,,45199,3.968292236328125,
225,,45199,,4.09299898147583
,1.0000000000000002e-06,45200,,
226,,45299,3.5574567317962646,
226,,45399,3.4182987213134766,
226,,45399,,4.080239295959473
,1.0000000000000002e-06,45400,,
227,,45499,3.662781000137329,
227,,45599,3.679941177368164,
227,,45599,,4.116489887237549
,1.0000000000000002e-06,45600,,
228,,45699,3.804349660873413,
228,,45799,3.5230979919433594,
228,,45799,,4.105679512023926
,1.0000000000000002e-06,45800,,
229,,45899,3.653008222579956,
229,,45999,3.906273603439331,
229,,45999,,4.124738693237305
,1.0000000000000002e-06,46000,,
230,,46099,3.5661652088165283,
230,,46199,3.7997541427612305,
230,,46199,,4.096267223358154
,1.0000000000000002e-06,46200,,
231,,46299,3.4245879650115967,
231,,46399,3.5675551891326904,
231,,46399,,4.09539794921875
,1.0000000000000002e-06,46400,,
232,,46499,3.4867262840270996,
232,,46599,3.6678032875061035,
232,,46599,,4.100919246673584
,1.0000000000000002e-06,46600,,
233,,46699,3.64809250831604,
233,,46799,3.6456477642059326,
233,,46799,,4.091540813446045
,1.0000000000000002e-06,46800,,
234,,46899,3.7082457542419434,
234,,46999,3.6693007946014404,
234,,46999,,4.0963521003723145
,1.0000000000000002e-06,47000,,
235,,47099,3.763840436935425,
235,,47199,3.7572479248046875,
235,,47199,,4.1003851890563965
,1.0000000000000002e-06,47200,,
236,,47299,3.5088303089141846,
236,,47399,3.5751914978027344,
236,,47399,,4.111650466918945
,1.0000000000000002e-06,47400,,
237,,47499,3.5382654666900635,
237,,47599,3.637946844100952,
237,,47599,,4.093167304992676
,1.0000000000000002e-07,47600,,
238,,47699,3.7128498554229736,
238,,47799,3.69412899017334,
238,,47799,,4.096427917480469
,1.0000000000000002e-07,47800,,
239,,47899,3.3691563606262207,
239,,47999,3.7915868759155273,
239,,47999,,4.08734655380249
,1.0000000000000002e-07,48000,,
240,,48099,3.95697283744812,
240,,48199,3.6034021377563477,
240,,48199,,4.113168716430664
,1.0000000000000002e-07,48200,,
241,,48299,3.6206061840057373,
241,,48399,3.694946527481079,
